MajorID,MajorName,DepartmentName
1,Early Childhood Education,Bagwell College of Education
2,Elementary Education,Bagwell College of Education
3,Middle Grades Education,Bagwell College of Education
4,Secondary Education,Bagwell College of Education
5,Accounting,Michael J. Coles College of Business
6,Economics,Michael J. Coles College of Business
7,Entrepreneurship,Michael J. Coles College of Business
8,Finance,Michael J. Coles College of Business
9,Hospitality Management,Michael J. Coles College of Business
10,Information Security and Assurance,Michael J. Coles College of Business
11,Information Systems,Michael J. Coles College of Business
12,International Business,Michael J. Coles College of Business
13,Management,Michael J. Coles College of Business
14,Marketing,Michael J. Coles College of Business
15,Professional Sales,Michael J. Coles College of Business
16,Architecture,College of Architecture and Construction Management
17,Construction Management,College of Architecture and Construction Management
18,Computer Game Design and Development,College of Computing and Software Engineering
19,Computer Science,College of Computing and Software Engineering
20,Information Technology,College of Computing and Software Engineering
21,Software Engineering,College of Computing and Software Engineering
22,African and African Diaspora Studies,Norman J Radow College of Humanities and Social Sciences
23,Anthropology,Norman J Radow College of Humanities and Social Sciences
24,Asian Studies,Norman J Radow College of Humanities and Social Sciences
25,Criminal Justice,Norman J Radow College of Humanities and Social Sciences
26,English Education,Norman J Radow College of Humanities and Social Sciences
27,English,Norman J Radow College of Humanities and Social Sciences
28,Geography,Norman J Radow College of Humanities and Social Sciences
29,Geospatial Sciences,Norman J Radow College of Humanities and Social Sciences
30,History Education,Norman J Radow College of Humanities and Social Sciences
31,History,Norman J Radow College of Humanities and Social Sciences
32,Integrative Studies,Norman J Radow College of Humanities and Social Sciences
33,Interactive Design,Norman J Radow College of Humanities and Social Sciences
34,International Affairs,Norman J Radow College of Humanities and Social Sciences
35,Journalism and Emerging Media,Norman J Radow College of Humanities and Social Sciences
36,Media and Entertainment,Norman J Radow College of Humanities and Social Sciences
37,Modern Language and Culture,Norman J Radow College of Humanities and Social Sciences
38,Organizational and Professional Communication,Norman J Radow College of Humanities and Social Sciences
39,Philosophy,Norman J Radow College of Humanities and Social Sciences
40,Political Science,Norman J Radow College of Humanities and Social Sciences
41,Psychology,Norman J Radow College of Humanities and Social Sciences
42,Public Relations,Norman J Radow College of Humanities and Social Sciences
43,Sociology,Norman J Radow College of Humanities and Social Sciences
44,Technical Communication,Norman J Radow College of Humanities and Social Sciences
45,Biochemistry,College of Science and Mathematics
46,Biology,College of Science and Mathematics
47,Chemistry,College of Science and Mathematics
48,Computational and Applied Mathematics,College of Science and Mathematics
49,Environmental Science,College of Science and Mathematics
50,Mathematics,College of Science and Mathematics
51,Physics,College of Science and Mathematics
52,Apparel and Textiles,College of The Arts
53,Art Education,College of The Arts
54,Art History,College of The Arts
55,Art,College of The Arts
56,Dance,College of The Arts
57,Digital Animation,College of The Arts
58,Music Education,College of The Arts
59,Music Performance,College of The Arts
60,Music,College of The Arts
61,Theatre and Performance Studies,College of The Arts
62,Civil Engineering,Southern Polytechnic College of Engineering and Engineering Technology
63,Computer Engineering,Southern Polytechnic College of Engineering and Engineering Technology
64,Electrical Engineering Technology,Southern Polytechnic College of Engineering and Engineering Technology
65,Electrical Engineering,Southern Polytechnic College of Engineering and Engineering Technology
66,Environmental Engineering,Southern Polytechnic College of Engineering and Engineering Technology
67,Industrial and Systems Engineering,Southern Polytechnic College of Engineering and Engineering Technology
68,Industrial Engineering Technology,Southern Polytechnic College of Engineering and Engineering Technology
69,Manufacturing Operations,Southern Polytechnic College of Engineering and Engineering Technology
70,Mechanical Engineering Technology,Southern Polytechnic College of Engineering and Engineering Technology
71,Mechanical Engineering,Southern Polytechnic College of Engineering and Engineering Technology
72,Mechatronics Engineering,Southern Polytechnic College of Engineering and Engineering Technology
73,Supply Chain Logistics,Southern Polytechnic College of Engineering and Engineering Technology
74,Exercise Science,Wellstar College of Health and Human Services
75,Health and Physical Education,Wellstar College of Health and Human Services
76,Human Services,Wellstar College of Health and Human Services
77,Integrated Health Science,Wellstar College of Health and Human Services
78,Nursing,Wellstar College of Health and Human Services
79,Public Health Education,Wellstar College of Health and Human Services
80,Sport Management,Wellstar College of Health and Human Services
81,Cybersecurity,Institute for Cybersecurity Workforce Development
